alg,instance,cycle,budget,risk,fit,solution
HC,nrp-e1,10,30,0,5953.0,[--S--S-----S-----SS-S-SSS--S--------S-S----S--S--S----------S---S-----S--S--------S-S--------S------S-S--------S--S-SS--S-S--S---SSSS-S---SS---S-S--S--SS-S--S-S-S---SS---SS------S-S-S----S---S-----S------S--SS----S-----S--S--S--S-S-----SS-S--S-SSS-S--SS--S------S-S---S----------SS-SS----SSSSSSS---SS--S--S----S-S-SSSS--S-----SS-S---SSS-SS--SSSS-S-SSS--S--S----SSSSSS----SSS--SS-SS----S--------SS-----SS-S-S----S--S-S--SS--SS---S-S--SSSS----S--SS---S-S-SS-SS-S-S--------S-S----SS--S---SS---SS-S---S-S--SSSS---S--S-S-SSSS--SS-SSSSS-SSSSS]
HC,nrp-e1,11,30,0,5944.0,[----SS------S-----S--SSSS-S-----S-SSSS-S--S-SSS---S---SS--S--S------S-----S--S-----SS-----S------SS-------S------S-----S---S-------SS----S--S----S-----S-S-S----SSS--------S---S-----------S--S-S---S-SS-S-----------SS----S----SS---SS-------SS-S-SSS--SS-SSS-SSS----S-----------SSS---S--S----SS-----SS-----SS-S---SS-SS--SS--S---S-SSS--S---SSS-S---SSSS-SS-S-S-S------S--SSSS-SS--SSSS--S---SSS--SS--S-S--SS----SSS--SS--S--SS----S----S-SSSSS--S---S-SSSS--SS--------S-SSSS---SS----SS-SS-S--SS--SS-SSS---SSSS-SSS---SS-SSSSS-SS-----S---SS-----S-S]
HC,nrp-e1,12,30,0,5870.0,[-S---S-SS----S---S-----S---S--S---S-SSS-SSS---S--S-----S----------S------SS--SS----S-S---S---S-S-S-----------SSS-S--S-S--------SS--SS---S--SSS---S-S---SS--------S-----SSSSS----------S----S-----SSS----S-----------SS-------SS--SSS--------S--S-SSS----SS-SS-S-------SS-S--S-SS-SSSS--------S-------S--S-SS--S-------S-S-------S-----SSS---SSS------SSSS-SS-S--SSS-S-------SSSSS---S--SSS---S---S-S--S--S-S--SS-S-SS-S--SSS------S-S-S-----SS-S--SS--SSSS--SS--S--S-SS-SSSSSS-S--S--S---S--SSS-SSS---SS--SS-SSSSS-S-S---S-----SSSS-S-SSS------SSS-S----]
HC,nrp-e1,13,30,0,5922.0,[-----S-SS-SS---S---SSSS----S------S------SS----S-SS-S-SS--SS-S---S------SS---SS-S----SS---S----SSS---S---------S-SS--S----S--S---S-SS---S-SS--SSSS-S--SS--SS------S---S----S-SSS--S----SS--S------S-SS-SS---S-------SS-----S-S---SS--------SS-S-----SS--SSSSSSSS------SSS--SS-----------S--S----SSS--SS----S--S---------SS-SSS---------------SSS---S---SS----S---S-S----SSSS-SS-S--------S------SS---S-----SS--S-S-S-S-S-SS--S---S----SS--S-SSS--SSSS---S-SSSS-----SS---SSSS-SS--S--S-S--S--SSS-S-S---SS-SSS-SS-S--SS-SS--SS----SSS-S-SS--S---S----S---S]
HC,nrp-e1,14,30,0,5793.0,[--S-SSS-S-------------S---------SSS---S--SS--SS------S-S--S----S--S--S-S-SS---SSS----S-S-S--S--SSS----S---S----------S-S---S-S---S-SS-----S-S--S-S--------SS--------------SS-S------S-S--S-S--S-----S----S--SS-SSS--SS-S---S------SS----S---S--S----SSS--S-SS-S-------S-S-S-S--S--------S-SS----SS--SS-----SS-S---------SS--S--SSS----SS----S--S--S--S-SS--S-S----SSSS-----S-SSS--SS-SS--S-S---S-SS--SS---SS-S---S--S-SSSSSS----S-SSS-S-S-S--S--SSS---S-----SS--S--S-SS-SSS-SSSS--SS-S-S-----S----S-S-SS-SS-S---------S--S---S--SS-S--SSS-S---S-SS--S--S]
HC,nrp-e1,15,30,0,5978.0,[----S--SS-S------S----S-S-----------S---S--S-S---------SSSS------SSSS-----S---SSS---S-----S-----SSS-SSS-----------------S--------S----SS------S--SSS-S--S--S------S---SSS-SS-S-----S--SSSS----------SS-S-S-SS-S-----SS----SSSS----S---S--S-SSSSS--SSSS-----SSS-S--S--SS-SSS--S---S------S-SS----SS---S-S------S----------S----S-S----SSS-----SSSS----SSSS----SS--S-S-SS--S-S-SS----S-S--SS------S----S-----S--SS-SS----S-SSS---S--SS---SS-SS-SS-----S---S-SSSS-SS-S-SSS-SSSSSS-S--S--SS--S--SSSS-SS---SS--SS---------SSSS----S--SSSSSSSS-SSS--SS---S--SS]
HC,nrp-e1,16,30,0,5823.0,[--S-SS-SS-S-----------SSSS----S-S-S-S-S--SS-------S-----S-S---SS-S---S---SS--S-----S------S-----SSS--S----S---------S--S----S----SS--SS-----S-----SS-S-S-S-S--S-S-S------SSSS-S----SS-S-S--SSS-SS-S----S-S--S----S--SS---------------S----S-------S-SSS--S-SS--------SS--S---S---S--S---S--SS-S-SS-SSS-SS-----SS--S----SSS-SS---SSS-SS---SS--SS------S-SSSSSS-S--SS-SS---SS--S-----S-----S-SS---S-S--S--------S------SS--SS--SS-S-S-S-----S-S---SSS----S-SS--------SS-S---S-SS-----S-S---S--S--S-SSS--SS--S-S-SSSSS--S--S----S-SSS----SS-S---SSS---S-S-S]
HC,nrp-e1,17,30,0,5855.0,[S-------S--S--SS--S-S-S-S--S----S-SSSSS---S--SS-------S---S---------SSSS------SS-------S--S---------SS--------------------SS----SS-SSS-S-----S-S-------S-S-S---SS----S----SS---S--S-SSS----SS---S-S-SS-----SSS------SS----SS---SSS----S----SSSSS-S--SSS------------S---S--SSS-SS-----S--S--S-S--S--S-SS-S--SS--SS----S-SS-----SSSS---SSS-----SSSSS---S--S----S-S--S------SSSSSS-S-S--S--SS-------SS-S-----SSS-SS-S--S-SS----S-----S-S-S---SS-SS--SSS--SS-SSS---S---S---SSSSS-----------S-S--SS---SS----S----SSS--S---S-S-SS--SS-SS-S-SSS-S-S--S----S--SS]
HC,nrp-e1,18,30,0,5795.0,[--S--SS---SS---S------SS----S--S--SS------SS------SSS-SS-S--S----S-S-SS--SS-------SSSSSS-------------S---SS--S--------S-SSS------S-SS--S-----------SS----SS-----S----------S-S------SS-----S----S-S----S--S-S------S-S-------S--SSSS---S--SS--SS----SSS-SS-SS--S---S--S-S---S--SS-S--------S---SS--SSSS---SSS-S--S---S---S-S-S------SSSS----S----S-SS-S-SS--SSSS-SSS-----SSS-S---S----S----SSS--SS------SSS-S-SS-SS-----SSS------SS-S----SS--S---SSS--S-S-SSSS-----S---SSS---S-SSS--S--S-S---SS-SSSS---S-S-----SSS---SSS---------SS---SSS-S-----SS-----S]
HC,nrp-e1,19,30,0,5844.0,[----------SS---S------SS-S----------S----S---S----S------S-S--SSSS-SS--S--S-SS-S-----SSS-SS----------SSS----------------SSS-S-----SSS---S-----S--S--------SSS---S-S--SS-SSSS-S---SS---S------SS--S--S--S----S-S-SS-S-S------SSS--SSS-SS-----S-S--S--SSS----SS--S----S-SS-S----SSS-S-----SSS----S-S------S------S-S---S--S--S-----S--SSSS-----SSSSS------S-SSSSS-SSS----S--S-----S-SS---SS---SS--S-S--S----S------SS-SS-SS--S-SS--SS-S---S----SSSS-SSS-S--SSSSS--S--S--S-SSS-SS---------------S----S--S-SS--S----S-S--S---SS--S----SSS-SSSSS--SSSSS--SS--]
HC,nrp-e1,20,30,0,5947.0,[--S----SS-SS-S----S---SS---S----S-S---S---S--SS---S-----S-S--S-S----S----SS--------S---------SSSS---------S----SS-------S-S--------SSSSSS-S-----S-S--S-SSSS------SS-------S-S-S---SSS---S----S---------SSS--S-----SS-S----S--S----S--SS-------------SS-SSSSSS---SS--S-SS-S----S-----SSS-S--S----SS-S-SSSSS-S-SS----S--S--SSSSS--------SS-SS--SSS-----SSS-----SS-SS----S--S--SS--S-S--S---S---S--SSSS-SS----SS-SSS-S-S------------S--S-SSS-S-SS----SSS-----SSSS-SS---SSS-SS--SS-S-S----------SSSS-S----------SS----S-SSSSS-S--S----S---SSSSS--S-S---S---S]
HC,nrp-e1,21,30,0,5884.0,[--S--S-SS--S---S--S-S---SS-S--S--------------S--S-SS-------S-SSS---SSS--------S-S--S------SSSS-SS----SS-S-S------S-----SS--------S-SS--S-----S---S------S--------S--S----S-S---SS--SS---SS--S--S-S-SSSSS---SS------S---S-S-S--S--SS--S---S--SS-S--S-----SSSSS-SS------S--S--S-------------SSS-S-S-------S-S---SS---S----S---S--S----SSSSSS---SSS-----SSSSS--S---SSSS-SS---SS-S--S-SS--------S----SS---S--S--S--S--SSSSS--SS-----SS----SS---SS-S-----SS----SSSS------SS-SSS--SSSS---S-S--S---S---S-SS---S-----SSSSS----S--S--SS-SSSSS-SSS-SSS--S----S-SSS]
HC,nrp-e1,22,30,0,5809.0,[----SS-----S--SS--S-----S---------SSS----SS---S---SSS-SS----S--SSS---S---S---SSS---SS-----SS-------S------S----SSS-----SSS-S---S-SSSS---S-------SS-S--SSS-SS--S-S---SS-SSSSS--S-----S---SS-----SS-----S--------S-S---------S----SS--S-SSS-S-SS------SSS---SSSSS------S----S-S-S--------SS----S--S--S--S--SS---S----------S-S-S------S-SSSS---SS-----SS-S--SSSS-SS-S--S---S-S-S--S--S---S-S---S-S--S--S----SS-----S----S-S--S-----------S----SSS--SS-S-S-S--SSS-S----S-SSSS-S-S-S--S-S---SS----SS--S----S----S----SS-SSS-S--SS---S-S--SSS-SSS-SS-SS---SS-]
HC,nrp-e1,23,30,0,5997.0,[--S--S--S---S-----S----SS--S----S-SS-----SS--S---SS-S-SS-S----S-S----S---S----S-----S--S-SS-SS--SS-S--------SS---------SS---S------SS--SSS--S-S--S-S----S----S--------S-S--S-S--S--SS-SSSS-S-S--S-S-S--SSS--S------S-SSS----S-S-S-S------S-SSS----------SS-SS---S-S----S-S-SS--SS----S--S-SS----S----S-SS----SS----S-S--SS-S-SS-S----SSS-S-----S-S-S-S-SSS-S-S-S--S-------S-SSS-S--S--SS-S-SSS-S---------S----SS--S--S---SS-----SSS-S-S-S----SS-SS-SS-SSS-SSSS-SS--SSS-SSSSSSS-S--------------SS------S--SS----------SSS-----S---S-SSSSSS-------SS-SS---]
