alg,instance,cycle,budget,risk,fit,solution
VISILS,nrp1,14,30,0,7.183333333333334,[--SS-S---S--S---S----S--S-------S----S-S-SS--------------S-------------S-----S-S----------S-S--S----]
VISILS,nrp1,15,30,0,6.933333333333333,[S---S----S------SS---S-----S----S----S--S-S--------SS-S------------------------------S-S-------S----]
VISILS,nrp1,16,30,0,6.699999999999999,[----S--S------S------------------S---S---SS-----S--S----S----SS-----SS---S---S------SSSS--S---------]
VISILS,nrp1,17,30,0,6.6,[S--S-SSS--S-----S----S-----S--SS-----SS-------S------S------S---S---SS----S--S-------S-S------------]
VISILS,nrp1,18,30,0,6.866666666666665,[----S----S------SS---S-----------S---S-----SS-----S-----S--S--------S-S------S-------------S--------]
VISILS,nrp1,19,30,0,6.949999999999997,[--S-----SS--S------S---------------SSS--S---------------------------S-S-------------SS---S--------S-]
VISILS,nrp1,20,30,0,7.0333333333333306,[-----S-SSS--S----S--S---S-----------SS--S------S-----------S-----S--S-S-----------------------------]
VISILS,nrp1,21,30,0,6.6499999999999995,[--S-SSSSS-S------S---S---------------SS----S--------------------S---------SS-S-SS------S------------]
VISILS,nrp1,22,30,0,6.483333333333335,[-------------S---S---------S----S----S--S---------S-----S------------S-------S-S-----------------S--]
VISILS,nrp1,23,30,0,6.849999999999999,[S-S-------S------S-S-S-----S---------S------S-S-SS-----------S-------S-S---S-S----S-----------------]
VISILS,nrp1,24,30,0,6.750000000000002,[----------------SS-S------------S----S--SSSS--S----------------------S--S-SS---------SS--S-----S----]
VISILS,nrp1,25,30,0,6.566666666666666,[------------SS-SS----S-S-------S-S---S-----------S-------------------S--S-S--S---------------------S]
VISILS,nrp1,26,30,0,6.566666666666666,[----S----S-------S-S-----------S--S--S----SSS------SS-------S----S--S------S------S-S--S------------]
VISILS,nrp1,27,30,0,6.6,[-----S-S----S---S-----------------S--SS---------S-----------S--S----S-SS-----S------S--------S------]
VISILS,nrp1,28,30,0,6.716666666666667,[-------------------S-SS----SS---SS---S----S---S-------------SS-S----------SSS--S--S----S-S-----S----]
VISILS,nrp1,29,30,0,7.199999999999999,[----S--S--S-----SS---------S-----S-SSS----SS----S-------S---S--S----------SS-S-------SS--SS---------]
ILS,nrp2,0,30,0,38.33333333333334,[S-S-S------S-----------S---S---S---S-------------------S--------S-S----S------S----S----S---------S--------------S-S-----S-S---------------------------S------------S--S-S-----SS-------S-----------S---SS----------SS---S------S-------S--------SS-----------S-----------S--------S-----S---------S--S------S--------S--S---S---------------SS-------------SS------S----------S----S------------S-SSS---SSS---SSS--S-S----------------S-S--S-----S------S----S---SS---------S-----------S-------------S----S-SS----]
ILS,nrp2,1,30,0,31.783333333333346,[---------------S-----------------------S-------------------------S---------------------S----------S---S------------S--S------S-S-S-SS------S---------------------------------------------------------------S-------S----------S----SS---S----S-----------S------S--------S----------S----S-------S---------------------S----------S---S----S-S------------S-----------S------S----SS-----------------------S----S---S-S-----SS--------S------S----------S--S------S--S--------------S------S---------S------S--SS---]
ILS,nrp2,2,30,0,-1554.0,[S---S-SSSSS---------S--S---SS--S---S----SSS-S-----S-------SS-S-S--S--S----------SS-S----S-----S----------SS-------S--S-----SS-SS--S-SS-----S---S-------S--S--S-----SS------S----SS-S-SS--S--S---S------SSSS--S---S------S-S--S-S----S----S---SS--S---SS-------S------S----S---------SS---SS----SSS-S-----S-S-S--S---S-SS----SS----S-------------SS-S-SS------S--S---S-SS--S-SS------S-S-----S------S------SS-SS-S-S-S-SS----S-------S---S-----------S---S--S-------S--S--SS--------S-----------------S------SS-S-S--]
ILS,nrp2,3,30,0,43.76666666666669,[S--SS------S---S-------S---------S-S-----S----------------S--S---SS--S----------S------SS----------------------------SS--S-----S------S-S------S-S--------S-------------S---------------SS---S-----------S---S-S------------SS---S-SS--S----S--S-S---------S--------------SS---S-S--------S--S---S-S-------S-----SS---SS-S---S--S-------S-------------S------S----------S-S---S----S----------S-----------S-S-S-------SS----S----------S----------------S--S------SS----------------S----S--S----S----------S--S----]
ILS,nrp2,4,30,0,37.36666666666667,[SSSS---------S---------S---S-----------------------S---------S--------------------------S--------------S----S-----------------------S--------S---------SS--------------SS-------S----------------S--S-------------------------S--------------S----------------S--S--------S-----------S--S-----S-------------S--S------------S----------S----S---------SS-------------S-SS--SS-----S---------S-----S----S---S---S---SS--------------S----S------S-S--S---S--------S----S--------S--S----SS-S-----------S----S----SS-]
