alg,instance,cycle,budget,risk,fit,solution
VISILS,nrp2,23,15,6,5.0,12219.577749062502
VISILS,nrp2,24,15,6,5.0,12005.179308437502
VISILS,nrp2,25,15,6,5.0,12207.591006250004
VISILS,nrp2,26,15,6,5.0,12239.954480312503
VISILS,nrp2,27,15,6,5.0,12217.12089875
VISILS,nrp2,28,15,6,5.0,12147.670946250002
VISILS,nrp2,29,15,6,5.0,12051.303891875003
ILS,nrp2,0,15,6,5.0,11899.030535937502
ILS,nrp2,1,15,6,5.0,11727.785249062503
ILS,nrp2,2,15,6,5.0,12149.646403125003
ILS,nrp2,3,15,6,5.0,11850.5283215625
ILS,nrp2,4,15,6,5.0,12066.9764415625
ILS,nrp2,5,15,6,5.0,11903.71515875
ILS,nrp2,6,15,6,5.0,11942.237901562503
ILS,nrp2,7,15,6,5.0,11779.670358750001
ILS,nrp2,8,15,6,5.0,11995.993467187502
ILS,nrp2,9,15,6,5.0,12077.725915625002
ILS,nrp2,10,15,6,5.0,12108.292387187503
ILS,nrp2,11,15,6,5.0,11942.048903125002
ILS,nrp2,12,15,6,5.0,12015.935914375003
ILS,nrp2,13,15,6,5.0,11990.524245937504
ILS,nrp2,14,15,6,5.0,11942.667538125004
ILS,nrp2,15,15,6,5.0,11913.816366250005
ILS,nrp2,16,15,6,5.0,12158.019250000001
ILS,nrp2,17,15,6,5.0,12164.815109062502
ILS,nrp2,18,15,6,5.0,11758.198962812501
ILS,nrp2,19,15,6,5.0,12088.887960000004
ILS,nrp2,20,15,6,5.0,12161.039067812502
ILS,nrp2,21,15,6,5.0,11953.048140625002
ILS,nrp2,22,15,6,5.0,11920.584360937502
ILS,nrp2,23,15,6,5.0,12049.487737500003
ILS,nrp2,24,15,6,5.0,11984.837036875002
ILS,nrp2,25,15,6,5.0,12084.578758750002
ILS,nrp2,26,15,6,5.0,12064.051291875001
ILS,nrp2,27,15,6,5.0,11941.4124484375
ILS,nrp2,28,15,6,5.0,11869.64874625
ILS,nrp2,29,15,6,5.0,11990.06575
VISILS,nrp3,0,15,6,5.0,16163.138035937502
VISILS,nrp3,1,15,6,5.0,16146.142548437505
VISILS,nrp3,2,15,6,5.0,16192.553963750004
VISILS,nrp3,3,15,6,5.0,16134.349181250001
VISILS,nrp3,4,15,6,5.0,16149.974195312501
VISILS,nrp3,5,15,6,5.0,16165.388055000003
VISILS,nrp3,6,15,6,5.0,16175.993299375003
VISILS,nrp3,7,15,6,5.0,16144.734642812504
VISILS,nrp3,8,15,6,5.0,16195.568226875
VISILS,nrp3,9,15,6,5.0,16169.446485625002
VISILS,nrp3,10,15,6,5.0,16164.512782187503
VISILS,nrp3,11,15,6,5.0,16198.881648125003
VISILS,nrp3,12,15,6,5.0,16177.875454375
VISILS,nrp3,13,15,6,5.0,16148.958245625003
VISILS,nrp3,14,15,6,5.0,16142.653469062503
VISILS,nrp3,15,15,6,5.0,16184.703728750002
VISILS,nrp3,16,15,6,5.0,16152.844391250004
VISILS,nrp3,17,15,6,5.0,16115.966925312501
VISILS,nrp3,18,15,6,5.0,16198.005454687502
VISILS,nrp3,19,15,6,5.0,16236.837198437503
VISILS,nrp3,20,15,6,5.0,16174.13584375
VISILS,nrp3,21,15,6,5.0,16136.3824465625
VISILS,nrp3,22,15,6,5.0,16177.37197125
VISILS,nrp3,23,15,6,5.0,16214.947271250003
VISILS,nrp3,24,15,6,5.0,16213.337508437504
VISILS,nrp3,25,15,6,5.0,16155.127904375
VISILS,nrp3,26,15,6,5.0,16137.199742812503
VISILS,nrp3,27,15,6,5.0,16146.869136562502
VISILS,nrp3,28,15,6,5.0,16200.911664375
VISILS,nrp3,29,15,6,5.0,16178.924847812503
ILS,nrp3,0,15,6,5.0,16189.973342500003
ILS,nrp3,1,15,6,5.0,16139.326860312503
ILS,nrp3,2,15,6,5.0,16177.993899375002
ILS,nrp3,3,15,6,5.0,16161.231205937504
ILS,nrp3,4,15,6,5.0,16098.909713125002
ILS,nrp3,5,15,6,5.0,16173.796909062503
ILS,nrp3,6,15,6,5.0,16204.104823437505
ILS,nrp3,7,15,6,5.0,16229.412185000001
ILS,nrp3,8,15,6,5.0,16183.1181053125
ILS,nrp3,9,15,6,5.0,16144.401304062503
ILS,nrp3,10,15,6,5.0,16131.634293437504
ILS,nrp3,11,15,6,5.0,16058.861532187502
ILS,nrp3,12,15,6,5.0,16188.838754687502
ILS,nrp3,13,15,6,5.0,16158.643373750001
ILS,nrp3,14,15,6,5.0,16175.068812812502
ILS,nrp3,15,15,6,5.0,16117.483274062504
ILS,nrp3,16,15,6,5.0,16173.9726434375
ILS,nrp3,17,15,6,5.0,16165.6561690625
ILS,nrp3,18,15,6,5.0,16128.195392812502
ILS,nrp3,19,15,6,5.0,16104.013753125004
ILS,nrp3,20,15,6,5.0,16136.918865937501
ILS,nrp3,21,15,6,5.0,16212.635912187501
ILS,nrp3,22,15,6,5.0,16139.132210312504
ILS,nrp3,23,15,6,5.0,16211.020995625004
ILS,nrp3,24,15,6,5.0,16230.609252500002
ILS,nrp3,25,15,6,5.0,16188.719070000001
ILS,nrp3,26,15,6,5.0,16138.861439375005
ILS,nrp3,27,15,6,5.0,16116.882667187501
ILS,nrp3,28,15,6,5.0,16205.282936250003
ILS,nrp3,29,15,6,5.0,16159.379335000001
VISILS,nrp4,0,15,6,5.0,25091.309225625002
VISILS,nrp4,1,15,6,5.0,25096.790444375005
VISILS,nrp4,2,15,6,5.0,25088.190465625
VISILS,nrp4,3,15,6,5.0,25134.876509375004
VISILS,nrp4,4,15,6,5.0,25007.150806875004
VISILS,nrp4,5,15,6,5.0,25123.376899062503
VISILS,nrp4,6,15,6,5.0,25079.626063125
VISILS,nrp4,7,15,6,5.0,24959.548117500002
VISILS,nrp4,8,15,6,5.0,25009.005982187504
VISILS,nrp4,9,15,6,5.0,24973.3477003125
VISILS,nrp4,10,15,6,5.0,25058.1760871875
VISILS,nrp4,11,15,6,5.0,24926.609938750003
VISILS,nrp4,12,15,6,5.0,24994.50788625
VISILS,nrp4,13,15,6,5.0,25038.992575937504
VISILS,nrp4,14,15,6,5.0,25052.806456875005
VISILS,nrp4,15,15,6,5.0,25051.213770000002
VISILS,nrp4,16,15,6,5.0,25193.77
