CONSTRUCTOR: greedy

STARTING SOLUTION: best from sampling

PERTURBATION: 2 customers
****************************** ILS   	nrp-g2-70     	8024,3333	8037,0000
****************************** VISILS	nrp-g2-70     	8029,2667	8039,0000
Processing data/requirements/realistic/nrp-g3.txt ...
****************************** HC    	nrp-g3-30     	4687,7000	4789,0000
****************************** ILS   	nrp-g3-30     	5887,2667	5909,0000
****************************** VISILS	nrp-g3-30     	5891,1000	5913,0000
****************************** HC    	nrp-g3-50     	7374,2667	7510,0000
****************************** ILS   	nrp-g3-50     	8454,4000	8476,0000
****************************** VISILS	nrp-g3-50     	8458,3000	8488,0000
****************************** HC    	nrp-g3-70     	9757,8000	9868,0000
****************************** ILS   	nrp-g3-70     	10497,2667	10512,0000
****************************** VISILS	nrp-g3-70     	10508,2000	10518,0000
Processing data/requirements/realistic/nrp-g4.txt ...
****************************** HC    	nrp-g4-30     	3401,2333	3524,0000
****************************** ILS   	nrp-g4-30     	4194,5000	4210,0000
****************************** VISILS	nrp-g4-30     	4194,7667	4213,0000
****************************** HC    	nrp-g4-50     	5307,4333	5446,0000
****************************** ILS   	nrp-g4-50     	6042,8667	6058,0000
****************************** VISILS	nrp-g4-50     	6042,5333	6056,0000
****************************** HC    	nrp-g4-70     	6965,5333	7049,0000
****************************** ILS   	nrp-g4-70     	7444,8333	7453,0000
****************************** VISILS	nrp-g4-70     	7446,9667	7454,0000
Processing data/requirements/realistic/nrp-m1.txt ...
****************************** HC    	nrp-m1-30     	7556,0667	7996,0000
****************************** ILS   	nrp-m1-30     	10577,1333	10663,0000
****************************** VISILS	nrp-m1-30     	10601,7000	10667,0000
****************************** HC    	nrp-m1-50     	12527,5333	12839,0000
****************************** ILS   	nrp-m1-50     	15360,1667	15444,0000
****************************** VISILS	nrp-m1-50     	15378,0667	15445,0000
****************************** HC    	nrp-m1-70     	17176,2333	17485,0000
****************************** ILS   	nrp-m1-70     	18999,7667	19077,0000
****************************** VISILS	nrp-m1-70     	19040,5333	19089,0000
Processing data/requirements/realistic/nrp-m2.txt ...
****************************** HC    	nrp-m2-30     	6180,3667	6375,0000
****************************** ILS   	nrp-m2-30     	8588,3667	8627,0000
****************************** VISILS	nrp-m2-30     	8601,8000	8658,0000
****************************** HC    	nrp-m2-50     	10205,0333	10476,0000
****************************** ILS   	nrp-m2-50     	12483,8000	12534,0000
****************************** VISILS	nrp-m2-50     	12497,0333	12535,0000
****************************** HC    	nrp-m2-70     	13969,2333	14172,0000
****************************** ILS   	nrp-m2-70     	15432,4333	15485,0000
****************************** VISILS	nrp-m2-70     	15465,7333	15503,0000
Processing data/requirements/realistic/nrp-m3.txt ...
****************************** HC    	nrp-m3-30     	7261,8333	7394,0000
****************************** ILS   	nrp-m3-30     	10199,6333	10299,0000
****************************** VISILS	nrp-m3-30     	10204,1667	10264,0000
****************************** HC    	nrp-m3-50     	12101,2667	12335,0000
****************************** ILS   	nrp-m3-50     	14940,2000	15036,0000
****************************** VISILS	nrp-m3-50     	14931,7667	14983,0000
****************************** HC    	nrp-m3-70     	16760,5000	16938,0000
****************************** ILS   	nrp-m3-70     	18643,9333	18702,0000
****************************** VISILS	nrp-m3-70     	18697,1667	18748,0000
Processing data/requirements/realistic/nrp-m4.txt ...
****************************** HC    	nrp-m4-30     	5581,8000	5825,0000
****************************** ILS   	nrp-m4-30     	7689,8000	7733,0000
****************************** VISILS	nrp-m4-30     	7696,8667	7732,0000
****************************** HC    	nrp-m4-50     	9242,4667	9395,0000
****************************** ILS   	nrp-m4-50     	11287,2000	11330,0000
****************************** VISILS	nrp-m4-50     	11296,9000	11330,0000
****************************** HC    	nrp-m4-70     	12713,8000	12917,0000
****************************** ILS   	nrp-m4-70     	14056,2000	14094,0000
****************************** VISILS	nrp-m4-70     	14078,4333	14102,0000
