alg,instance,cycle,budget,risk,fit,solution
VISILS,nrp1,11,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
VISILS,nrp1,12,30,0,1198.0,[--SSSS-SS-S----SSS-S------SS--S-----SS----S--S-----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,13,30,0,1181.0,[--SSSS-S--S-S---SS---S-----SS-SS-S---S----S---S----SS------SS-SSSS--S--S--SSSS-S--S-SS-S-SS----S-S--]
VISILS,nrp1,14,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
VISILS,nrp1,15,30,0,1195.0,[--SSSS-SS-S----SSS-S------SS--S--S--SS----S--SS----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-------S-S--]
VISILS,nrp1,16,30,0,1193.0,[--SSSS-S--S-----SS-S----S--S--S--S---S----S---S----S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
VISILS,nrp1,17,30,0,1185.0,[--SSSS-S--S-----SS-S-S-----S--SS-S--SS----S--------S----SS-SS-SSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
VISILS,nrp1,18,30,0,1179.0,[--SSSS-S--S-S---SS-S-S--S--S---S-----S----S---S----SS------S-SSS-S--S-S-S-SSSS-S--S-SS-S-SS----S-S--]
VISILS,nrp1,19,30,0,1183.0,[--SSSS-SS---S--SSS---------S--S--S---S----S--SS----SS------SS-SSSS--S-SS--S-SS-S--S-SS-S-SS----S-S--]
VISILS,nrp1,20,30,0,1204.0,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S----SS-SS-SSSS--SSSS--SS-S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,21,30,0,1179.0,[--SSSS-S--S-S---SS-S-S--S--S---S-----S----S---S----SS------S-SSS-S--S-S-S-SSSS-S--S-SS-S-SS----S-S--]
VISILS,nrp1,22,30,0,1167.0,[--SSSS-S--S-S----S-S-S-----S---S-S--SS----S---S----SS------S-SSS-S--S-S-S-SS-S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,23,30,0,1200.0,[--SSSS-SS-------SS-S------SS--S--S--SS----S---S----S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,24,30,0,1188.0,[--SSSS-S--S-----SS-S-S--S--S---S-S---S----S---S----S----SS-S-SSS-S--S-S-S-SS-S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,25,30,0,1144.0,[---SSS-S-SS-----SS------S-----S--S---S----S---S----S------S-SSSSSS--S-SS--S--S-S--S-SSSS-SS-S--S-S-S]
VISILS,nrp1,26,30,0,1193.0,[--SSSS-S--S-----SS-S----S--S--S--S---S----S---S----S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
VISILS,nrp1,27,30,0,1125.0,[---SSS-SS-S-----SS-S------S---S--S--SS----S--------S------S-S--SSS-SS-SSS-S--S-S--SSSS-S-------S-SSS]
